state,emp_length,term,homeownership,annual_income,verified_income,debt_to_income,total_credit_limit,total_credit_utilized,num_cc_carrying_balance,loan_purpose,loan_amount,grade,interest_rate,public_record_bankrupt,loan_status
CA,3,36,MORTGAGE,150000,Verified,18.36,134786,72390,2,debt_consolidation,35000,A,6.07,0,Current
OH,10,36,MORTGAGE,67000,Not Verified,9.08,324478,24595,2,debt_consolidation,30150,C,12.62,0,Current
TX,2,36,RENT,64000,Verified,28.06,100036,85992,4,credit_card,18000,B,11.98,0,Current
GA,2,36,MORTGAGE,80000,Source Verified,17.99,193422,23277,16,debt_consolidation,26000,C,13.59,0,Current
TX,2,36,RENT,60000,Source Verified,35.57,75071,45182,15,credit_card,10000,E,23.88,0,Current
IL,10,60,MORTGAGE,120000,Not Verified,13.66,301655,32501,1,debt_consolidation,16800,C,13.59,0,Current
RI,1,36,RENT,59000,Verified,9.32,49000,40676,2,major_purchase,9800,B,10.9,0,Current
VA,10,36,RENT,45000,Verified,6.43,53700,22799,7,debt_consolidation,16000,B,9.93,0,Current
OH,2,36,RENT,41000,Not Verified,16.04,47424,9501,9,vacation,10000,A,6.08,0,Current
MN,3,36,MORTGAGE,42000,Not Verified,17.14,54641,57007,3,debt_consolidation,2500,C,12.62,0,Current
NE,5,36,MORTGAGE,54902,Source Verified,22.47,205156,139223,1,debt_consolidation,8000,C,13.58,1,Fully Paid
TX,3,36,RENT,40000,Source Verified,18.27,31930,9609,4,debt_consolidation,10000,C,13.58,0,Current
MD,4,36,RENT,132000,Source Verified,13.51,267145,198809,4,debt_consolidation,40000,A,7.97,0,Current
NM,3,36,OWN,42000,Source Verified,22.26,53185,41666,5,credit_card,12000,B,10.42,0,Current
KS,10,60,RENT,65000,Not Verified,22.82,87473,54640,4,debt_consolidation,17000,B,9.43,0,Current
IL,10,36,MORTGAGE,140000,Source Verified,14.98,297442,48040,6,debt_consolidation,12000,B,10.91,1,Current
TX,8,36,OWN,135000,Source Verified,22.34,470126,79894,12,debt_consolidation,11000,D,19.03,0,Current
NY,6,36,RENT,90000,Verified,1.27,34800,3577,3,home_improvement,40000,A,5.31,0,Current
MI,10,60,MORTGAGE,120000,Source Verified,3.02,97186,34969,1,debt_consolidation,31000,A,7.35,0,Current
TX,0,60,RENT,60000,Verified,11.61,30561,18999,2,renewable_energy,16000,E,26.77,0,Current
VA,10,60,MORTGAGE,30000,Source Verified,24.2,213000,25331,6,debt_consolidation,16000,E,25.82,0,Current
WA,2,36,RENT,38411,Not Verified,9.41,68553,56754,3,debt_consolidation,16000,B,10.91,0,Current
PA,10,36,RENT,53527.6,Verified,10.47,17600,17160,6,debt_consolidation,30000,D,18.06,0,Fully Paid
FL,5,36,RENT,70000,Source Verified,6.93,32982,22070,4,debt_consolidation,15000,C,14.08,0,Current
PA,7,60,MORTGAGE,46000,Not Verified,50.51,197513,58542,9,debt_consolidation,22000,C,12.61,0,Current
TX,1,60,MORTGAGE,53000,Source Verified,21.17,218015,31368,3,other,30000,B,9.44,0,Current
WA,5,36,RENT,60000,Source Verified,1,2300,822,2,credit_card,6000,A,7.96,0,Current
VA,10,36,MORTGAGE,65000,Source Verified,6.46,13000,11278,5,debt_consolidation,13500,B,10.42,1,Current
NC,10,36,MORTGAGE,110000,Source Verified,24.19,342794,90092,4,debt_consolidation,10000,C,16.02,0,Current
MI,3,36,MORTGAGE,40000,Verified,36.54,209342,60072,3,debt_consolidation,13000,C,12.61,0,Current
CA,10,36,RENT,105000,Source Verified,26.16,116998,76569,6,small_business,6000,C,13.59,0,Current
WI,3,60,RENT,43500,Verified,26.73,76543,40830,4,debt_consolidation,19200,D,20,0,Current
NY,10,60,RENT,96000,Verified,9.41,447100,51751,9,debt_consolidation,35000,D,20,0,Current
CA,10,36,MORTGAGE,92000,Source Verified,18.73,106182,46367,7,debt_consolidation,20225,C,15.04,0,Current
NY,0,60,RENT,60000,Not Verified,35.44,290936,325656,2,credit_card,14000,D,18.45,0,Current
NY,4,36,RENT,40000,Source Verified,9.09,14919,8174,6,debt_consolidation,8000,C,16.01,0,Current
CA,9,60,MORTGAGE,58000,Not Verified,6.58,348142,6481,4,home_improvement,10000,C,12.61,0,Current
NY,10,60,OWN,37840,Not Verified,26.86,64872,43862,3,credit_card,10000,E,23.88,0,Fully Paid
HI,8,36,RENT,54000,Source Verified,29.28,60610,44422,4,other,25000,C,15.04,0,Current
OK,9,36,MORTGAGE,128000,Source Verified,16.74,109732,68071,5,other,6000,A,6.72,1,Current
FL,10,36,MORTGAGE,150000,Source Verified,21.21,458960,105918,5,other,32000,B,10.41,0,Current
WI,10,60,MORTGAGE,110000,Source Verified,18.94,289807,69977,3,debt_consolidation,32000,C,14.07,0,Current
CA,4,60,RENT,90000,Not Verified,8.67,83307,41095,4,debt_consolidation,20000,C,13.58,0,Current
MA,4,36,MORTGAGE,120000,Verified,15.86,799435,48926,5,home_improvement,6000,A,5.31,0,Current
FL,4,60,RENT,85000,Source Verified,10.8,78601,23854,4,credit_card,16000,D,17.09,1,Current
CA,3,36,MORTGAGE,280000,Source Verified,9.36,817553,48645,2,home_improvement,12000,B,10.41,0,Current
VA,4,36,MORTGAGE,65000,Source Verified,47.67,172218,100661,7,debt_consolidation,30000,A,7.34,0,Current
CA,10,60,MORTGAGE,161000,Source Verified,20.46,722868,153071,12,credit_card,35000,D,17.09,0,Current
FL,10,36,OWN,200000,Source Verified,26.96,321927,166085,7,debt_consolidation,35000,B,11.99,0,Current
MD,7,36,RENT,116365,Not Verified,9.42,160261,69197,2,credit_card,12000,A,5.31,0,Current
IL,10,36,OWN,62823,Not Verified,39.39,193850,83956,8,debt_consolidation,25000,C,14.08,0,Current
WI,2,60,OWN,60000,Verified,25.28,197061,54661,6,credit_card,20000,F,28.72,0,Late (16-30 days)
IN,10,36,MORTGAGE,52000,Not Verified,0.83,139800,704,1,debt_consolidation,10000,A,5.31,0,Current
WI,10,60,MORTGAGE,45000,Source Verified,11.97,44400,17525,4,debt_consolidation,15000,C,13.58,0,Current
OR,9,36,RENT,165000,Source Verified,10.81,165900,75616,10,debt_consolidation,20000,A,7.96,0,Current
TX,5,36,RENT,94500,Not Verified,19.16,142190,42892,13,debt_consolidation,10000,A,6.08,0,Current
CA,5,36,RENT,18800,Verified,59.71,68888,38057,5,debt_consolidation,35000,B,10.42,0,Current
MN,3,60,RENT,48000,Not Verified,20.7,174185,109160,8,credit_card,20000,B,9.44,0,Current
CO,2,36,OWN,29000,Verified,1.16,14500,981,1,debt_consolidation,12000,B,10.91,0,Fully Paid
NV,10,36,MORTGAGE,60000,Not Verified,5.1,22838,10286,5,debt_consolidation,1200,C,15.04,1,Current
OK,10,36,MORTGAGE,89000,Not Verified,10.96,407708,29434,3,debt_consolidation,15000,A,5.32,0,Current
NC,4,60,MORTGAGE,127000,Source Verified,20.16,265402,73820,4,credit_card,19600,B,9.44,0,Current
RI,0,36,MORTGAGE,29000,Not Verified,23.63,50896,10843,3,debt_consolidation,7000,C,14.07,0,Current
FL,2,36,OWN,145000,Not Verified,16.98,232382,89533,5,home_improvement,25000,A,6.72,0,Current
FL,10,36,MORTGAGE,86000,Not Verified,19.09,271797,57849,8,debt_consolidation,5000,C,15.05,0,Current
CT,10,36,OWN,100000,Source Verified,12.18,53241,36878,3,credit_card,20000,C,14.08,0,Current
FL,10,36,MORTGAGE,45000,Source Verified,22.01,194242,24925,4,home_improvement,7000,B,9.44,0,Current
OH,9,36,MORTGAGE,75000,Source Verified,15.9,178829,94977,6,debt_consolidation,10000,D,20.39,0,Current
GA,4,60,MORTGAGE,80000,Source Verified,0.38,233000,1959,2,home_improvement,30000,B,9.44,0,Current
OH,4,36,OWN,56000,Source Verified,14.05,257544,27237,4,credit_card,16000,A,5.32,0,Current
NJ,2,36,RENT,150000,Not Verified,13.89,125545,61678,9,debt_consolidation,12000,A,6.72,1,Current
MA,1,60,MORTGAGE,145000,Verified,23.26,423921,104566,3,house,35000,D,17.47,0,Fully Paid
CA,6,36,RENT,250000,Not Verified,8.56,137107,56938,4,debt_consolidation,40000,B,10.41,0,Current
NC,0,60,OWN,50000,Source Verified,12.1,75685,16117,6,other,16000,B,9.43,1,Current
MD,10,36,MORTGAGE,50000,Source Verified,17.56,186990,10432,8,credit_card,3000,B,9.43,0,Current
AL,10,60,MORTGAGE,34700,Source Verified,66.59,308687,59319,5,debt_consolidation,25000,B,10.42,0,Current
FL,8,36,RENT,70000,Source Verified,29.92,77050,66365,4,small_business,6500,B,10.9,0,Current
TX,5,60,MORTGAGE,80000,Verified,26.16,184874,68506,2,debt_consolidation,40000,B,9.93,0,Current
NJ,10,36,MORTGAGE,130000,Not Verified,31.49,475695,136508,19,debt_consolidation,7000,C,13.59,0,Current
VA,7,36,MORTGAGE,135000,Not Verified,20.42,468177,114305,4,debt_consolidation,20000,B,9.93,1,Current
FL,1,36,RENT,43000,Source Verified,24.28,44979,32507,3,debt_consolidation,12000,B,10.42,0,Current
FL,10,36,OWN,95000,Source Verified,16.5,71434,50945,7,credit_card,16000,C,16.01,0,Current
IN,10,36,MORTGAGE,109000,Not Verified,24.04,538671,77561,9,home_improvement,12000,A,7.96,0,Current
IL,1,60,MORTGAGE,250000,Not Verified,16.78,618071,122516,5,debt_consolidation,10000,B,9.44,0,Current
IL,10,60,RENT,76012,Source Verified,16.5,83352,52434,6,debt_consolidation,20000,B,10.91,0,Current
NJ,7,60,MORTGAGE,85000,Source Verified,21.68,237534,105538,7,credit_card,30000,A,6.07,0,Current
UT,5,36,MORTGAGE,73000,Source Verified,13.08,264630,41947,3,credit_card,25000,A,7.35,0,Current
MI,3,60,MORTGAGE,80000,Source Verified,10.5,42153,19965,3,house,30000,B,9.43,0,Current
CA,2,36,MORTGAGE,185000,Not Verified,28.52,614223,98736,3,debt_consolidation,35000,B,9.44,0,Current
MN,6,60,RENT,80000,Source Verified,25.44,91224,64453,6,debt_consolidation,30000,C,13.59,0,Current
FL,5,36,RENT,97000,Not Verified,9.39,41863,19186,2,debt_consolidation,5000,A,6.08,0,Current
CA,0,36,RENT,60000,Source Verified,17,563308,555502,4,credit_card,13000,A,5.32,0,Current
MN,10,36,MORTGAGE,65000,Source Verified,19.55,221183,46055,1,debt_consolidation,12000,A,5.32,0,Current
TN,10,36,RENT,38000,Not Verified,17.53,33624,13236,4,debt_consolidation,10000,C,16.02,0,Current
CO,10,36,MORTGAGE,78648,Source Verified,26.64,333424,58690,5,debt_consolidation,10000,D,20,0,Current
NM,4,60,RENT,38043,Verified,38.33,129793,104031,3,debt_consolidation,10000,B,9.44,0,Current
NY,10,60,MORTGAGE,44000,Source Verified,13.75,77353,20197,5,debt_consolidation,11500,C,12.61,0,Fully Paid
AZ,5,60,MORTGAGE,95000,Verified,27.21,347656,104713,10,debt_consolidation,15000,D,18.45,0,Current
GA,10,60,MORTGAGE,96000,Verified,29.28,368431,84271,6,debt_consolidation,40000,C,14.07,0,Current
NY,10,60,RENT,120000,Not Verified,8.48,44693,38660,3,credit_card,10000,C,15.04,0,Current
NY,9,60,MORTGAGE,275000,Not Verified,1.48,218147,12651,3,debt_consolidation,40000,B,9.44,0,Current
CA,10,36,MORTGAGE,100000,Source Verified,6.25,291519,100941,3,debt_consolidation,35000,A,6.07,0,Current
ID,5,36,MORTGAGE,180000,Not Verified,15.41,421680,135944,4,credit_card,40000,A,5.31,0,Current
TN,10,60,RENT,90000,Source Verified,14.59,152018,51578,3,moving,15000,B,9.43,0,Current
CA,5,36,RENT,97000,Source Verified,8.56,78813,24379,5,other,18000,A,6.72,0,Current
MI,10,36,MORTGAGE,32760,Verified,17,142051,8506,6,debt_consolidation,12000,B,10.41,0,Current
TX,10,60,MORTGAGE,90000,Not Verified,12.23,73471,24001,9,debt_consolidation,20000,D,21.45,0,Current
FL,2,36,RENT,33197,Source Verified,8.35,19300,9246,5,major_purchase,6000,B,9.92,0,Current
AZ,10,60,MORTGAGE,122000,Source Verified,18.83,346595,72213,8,debt_consolidation,30000,B,10.9,1,Current
WA,5,36,RENT,35000,Verified,25.99,62103,51535,3,credit_card,5000,B,10.9,0,Current
FL,5,36,RENT,40000,Not Verified,29.07,60930,55087,5,credit_card,5000,C,13.59,0,Current
MI,5,36,OWN,55000,Verified,6.13,18634,11521,1,debt_consolidation,17000,B,10.41,0,Current
TX,10,36,MORTGAGE,72500,Not Verified,12.78,259900,21926,7,debt_consolidation,22000,A,6.71,0,Current
NY,5,60,RENT,60000,Source Verified,7.34,60500,22657,2,credit_card,24000,C,15.04,0,Current
ME,5,36,RENT,75000,Verified,37.82,132086,84943,8,debt_consolidation,20000,D,18.06,0,Current
IL,8,36,MORTGAGE,102000,Source Verified,20.28,292083,62405,11,credit_card,34000,B,9.44,0,Current
FL,10,36,RENT,70000,Not Verified,19.03,88300,53137,5,debt_consolidation,15000,A,7.35,0,Current
CO,2,36,MORTGAGE,180000,Source Verified,15.36,585684,137891,2,credit_card,15000,A,7.97,1,Current
OR,10,60,RENT,31942.63,Not Verified,16.16,21234,16958,3,credit_card,10000,D,18.45,0,Current
NY,10,36,MORTGAGE,82000,Not Verified,28.49,93208,57762,7,home_improvement,28000,C,15.05,1,Current
TX,1,36,RENT,24000,Not Verified,21.54,31100,15968,4,credit_card,5000,B,9.44,0,Current
NV,1,36,OWN,52000,Verified,13.71,60823,22077,5,debt_consolidation,10000,C,12.62,0,In Grace Period
SC,9,36,OWN,38000,Source Verified,22.25,40964,19326,2,home_improvement,5000,A,6.07,0,Current
NY,10,36,MORTGAGE,50000,Source Verified,26.89,157535,32399,7,credit_card,20000,A,6.07,0,Current
LA,0,60,MORTGAGE,62000,Not Verified,4.51,386100,20570,2,other,40000,A,7.34,0,Current
TN,8,36,MORTGAGE,60000,Verified,35.39,241932,83274,11,home_improvement,5000,C,13.58,1,Current
SC,3,36,MORTGAGE,85000,Not Verified,26.97,228526,81602,4,debt_consolidation,17000,A,6.07,0,Current
SC,4,60,MORTGAGE,68000,Verified,25.94,254416,46013,9,debt_consolidation,16000,D,18.45,0,Current
MD,5,36,MORTGAGE,64000,Verified,20.44,56200,21700,5,debt_consolidation,32000,B,9.93,1,Current
VA,10,60,MORTGAGE,8000,Not Verified,144.74,34110,28483,11,debt_consolidation,25000,E,23.88,1,Current
WA,6,36,MORTGAGE,65000,Verified,18.82,340300,27022,9,debt_consolidation,6500,B,10.42,0,Current
GA,5,60,RENT,56000,Not Verified,23.53,54100,32940,4,debt_consolidation,24000,B,9.93,0,Current
FL,10,60,RENT,65000,Verified,9.8,292123,311963,7,debt_consolidation,24000,C,13.58,0,Current
MA,4,36,RENT,92000,Not Verified,24.99,142546,96275,1,debt_consolidation,25450,A,7.97,0,Fully Paid
NJ,2,36,RENT,40000,Not Verified,15.84,74405,26870,8,debt_consolidation,18000,B,9.93,0,Current
KY,1,36,RENT,30000,Not Verified,21.4,44932,41026,2,debt_consolidation,3200,D,18.06,0,Current
FL,3,36,RENT,30000,Source Verified,34.16,81473,63494,3,credit_card,11250,B,10.41,0,Current
OH,8,60,MORTGAGE,135000,Source Verified,17.8,373878,48203,9,debt_consolidation,19200,B,11.98,0,Current
OK,1,36,RENT,35000,Verified,27.91,83253,29899,2,credit_card,9000,A,7.97,0,Current
MD,7,36,RENT,85000,Not Verified,9.52,46700,9767,1,debt_consolidation,18000,A,6.07,0,Current
FL,3,60,RENT,33000,Not Verified,27.16,41290,26298,3,credit_card,10000,B,11.98,0,Current
MD,8,36,MORTGAGE,72000,Source Verified,27.95,384616,73199,6,debt_consolidation,20000,C,13.59,0,Current
MA,3,36,MORTGAGE,78000,Not Verified,10.86,97477,89055,7,credit_card,6025,C,15.05,0,Fully Paid
UT,10,36,MORTGAGE,43000,Not Verified,11.11,98593,20722,4,debt_consolidation,6400,C,14.07,0,Fully Paid
CA,9,36,RENT,68000,Not Verified,13.06,44257,33488,4,debt_consolidation,13000,B,10.91,1,Current
FL,7,36,RENT,67400,Verified,1.83,15100,2973,2,medical,24000,A,6.72,0,Current
NC,3,60,MORTGAGE,85000,Source Verified,20.23,107874,49041,8,debt_consolidation,20000,D,17.47,0,Current
VA,0,36,RENT,70000,Source Verified,0.86,8500,262,2,other,1000,A,7.97,0,Current
CA,10,36,RENT,73000,Not Verified,18.99,104181,40790,4,vacation,5600,A,7.96,0,Current
TN,10,60,MORTGAGE,62000,Source Verified,31.62,122172,46123,11,credit_card,35000,B,9.44,0,Current
CO,1,60,RENT,58000,Source Verified,6.62,81599,67628,1,debt_consolidation,17500,C,15.05,1,Current
NH,1,36,RENT,35360,Verified,10.35,20800,13058,4,other,15000,C,13.58,0,Current
CA,10,36,MORTGAGE,87000,Not Verified,19.67,426217,33491,3,debt_consolidation,4800,B,9.44,0,Current
NM,0,60,MORTGAGE,150000,Verified,39.1,604532,228881,6,debt_consolidation,25000,F,30.65,0,Current
MO,10,36,MORTGAGE,92000,Verified,20.41,337480,73682,9,debt_consolidation,36000,B,9.43,0,Current
IL,0,36,MORTGAGE,200000,Source Verified,5.54,311281,21309,5,other,1650,A,7.35,0,Current
NY,3,36,MORTGAGE,100000,Verified,26.82,329954,132363,8,credit_card,30000,A,6.07,0,Current
SC,10,60,MORTGAGE,65000,Not Verified,15.73,187987,35722,5,credit_card,15000,D,17.09,0,Current
CA,7,36,RENT,166088,Not Verified,8.51,129010,49468,2,debt_consolidation,25000,A,7.35,0,Current
MO,7,60,MORTGAGE,49000,Verified,13.08,125503,32285,0,credit_card,17500,B,10.42,0,Current
MD,8,60,RENT,100000,Not Verified,17.39,85440,70391,2,debt_consolidation,20000,D,17.09,0,Current
NY,10,36,MORTGAGE,103000,Not Verified,27.48,309251,100307,9,debt_consolidation,24000,D,21.45,0,Current
IN,5,36,MORTGAGE,32000,Not Verified,36.38,187795,52349,1,other,3500,B,11.99,0,Current
KS,5,36,RENT,60000,Not Verified,25.54,75617,46382,3,debt_consolidation,6000,A,7.34,0,Current
IN,10,60,MORTGAGE,95000,Verified,19.61,215513,54743,7,debt_consolidation,39275,C,13.59,0,Current
NY,10,60,RENT,54000,Verified,16.87,58200,17528,8,home_improvement,20000,D,17.09,1,Current
NE,10,60,MORTGAGE,37000,Verified,3.7,5700,2876,3,debt_consolidation,16000,D,17.09,0,Current
VA,10,36,OWN,103000,Not Verified,13.72,59085,47278,2,home_improvement,8000,D,18.06,0,Current
CA,2,36,RENT,46000,Not Verified,20.61,46022,33403,3,credit_card,4800,C,14.08,0,Current
MO,3,36,OWN,30000,Verified,3.56,9840,4030,1,other,20000,A,7.96,0,Current
TX,2,36,MORTGAGE,150000,Source Verified,17.96,418643,81282,9,debt_consolidation,40000,B,11.99,0,Current
CA,3,36,RENT,30000,Not Verified,16.12,24427,15442,3,credit_card,5000,A,7.97,0,Current
NH,10,36,RENT,92000,Source Verified,13.08,29200,22448,2,credit_card,8000,C,12.61,1,Current
NJ,10,60,RENT,130000,Source Verified,13.89,98371,79725,1,debt_consolidation,40000,C,16.01,0,Current
TX,3,36,RENT,74000,Verified,12.96,47663,24212,3,other,22000,C,13.58,1,Current
GA,2,60,MORTGAGE,80400,Source Verified,11.28,265661,38474,5,credit_card,12000,B,10.41,1,Current
CT,3,36,RENT,40000,Not Verified,21.57,28195,15937,3,credit_card,10000,C,13.59,0,Current
CA,10,36,RENT,50000,Source Verified,10.73,32739,16235,4,other,4800,D,18.45,0,Current
NY,5,36,RENT,76000,Source Verified,17.79,47336,18269,8,other,4300,C,12.62,0,Current
FL,7,36,RENT,55000,Source Verified,17.76,76805,31810,5,major_purchase,36000,A,7.97,1,Current
NJ,3,36,MORTGAGE,100000,Not Verified,29.76,650774,62922,7,credit_card,20000,D,21.45,0,Current
CO,2,36,MORTGAGE,118000,Not Verified,13.95,523500,27254,9,debt_consolidation,10000,A,5.32,0,Current
NJ,5,36,MORTGAGE,117000,Source Verified,0.42,31900,1158,3,home_improvement,40000,B,9.44,1,Current
MO,1,36,MORTGAGE,113000,Source Verified,6.06,237948,16960,4,home_improvement,20000,A,6.07,0,Current
NJ,5,36,MORTGAGE,320000,Source Verified,10.72,367843,31734,1,other,4000,B,11.99,0,Current
NY,10,60,RENT,51900,Not Verified,11.01,48550,36487,4,major_purchase,12500,E,24.85,1,Current
FL,5,60,MORTGAGE,85000,Not Verified,10.51,229997,37030,6,debt_consolidation,20000,C,12.61,0,Current
TX,6,60,MORTGAGE,65000,Not Verified,16.14,367672,43093,4,debt_consolidation,17425,B,9.43,0,Current
PA,0,36,RENT,57000,Source Verified,5.31,15249,7103,0,medical,7000,A,6.71,0,Current
HI,8,36,RENT,120000,Source Verified,16.9,58389,41775,4,other,15000,D,17.09,0,Fully Paid
AL,7,36,RENT,95000,Not Verified,9.46,60070,31286,7,debt_consolidation,7200,B,10.42,0,Current
PA,2,36,RENT,71000,Not Verified,22.5,90500,50320,4,credit_card,7000,A,7.35,0,Current
IN,10,60,MORTGAGE,80000,Source Verified,16.42,225355,28864,5,debt_consolidation,22000,C,14.08,1,Current
WY,10,36,MORTGAGE,90000,Source Verified,12.61,209314,29354,3,credit_card,6000,A,5.32,0,Current
NY,10,60,MORTGAGE,120000,Verified,20.48,309246,55495,13,debt_consolidation,35000,B,10.42,0,Current
IN,4,60,MORTGAGE,68274,Source Verified,17.05,150443,41535,4,home_improvement,24000,F,28.72,0,Current
CT,10,36,RENT,72000,Not Verified,24.67,125862,38490,10,debt_consolidation,25000,A,7.34,1,Current
SC,7,36,RENT,40000,Source Verified,8.4,42600,15787,5,debt_consolidation,4000,A,5.31,0,Current
MD,10,60,MORTGAGE,50000,Source Verified,27.46,208731,41333,7,debt_consolidation,28000,C,15.04,1,Current
NJ,1,36,MORTGAGE,142000,Source Verified,14.92,570969,65221,9,debt_consolidation,8000,B,11.98,0,Current
TX,2,36,RENT,50000,Source Verified,14.19,31318,8549,5,other,9600,B,10.91,0,Current
IL,3,36,RENT,54000,Not Verified,20.69,91976,64803,4,debt_consolidation,6500,A,6.08,1,Current
TX,1,60,MORTGAGE,35000,Verified,43.44,218771,40843,8,debt_consolidation,20000,E,25.82,0,Current
TX,2,36,MORTGAGE,100000,Source Verified,11.58,367303,68059,10,debt_consolidation,10000,C,15.05,0,Current
MD,10,60,MORTGAGE,92500,Verified,9.8,50815,25438,5,debt_consolidation,35000,E,25.81,1,Fully Paid
IL,10,36,RENT,65000,Verified,11.84,52602,23408,6,major_purchase,35000,C,14.08,0,Current
GA,10,36,RENT,40000,Not Verified,17.67,38819,25519,5,debt_consolidation,7000,B,9.43,0,Current
GA,10,60,MORTGAGE,75000,Verified,10.27,181225,40833,3,small_business,28000,B,9.43,0,Current
OH,10,60,MORTGAGE,64000,Source Verified,21.85,57059,39327,7,home_improvement,15000,B,11.99,1,Late (31-120 days)
MN,10,36,MORTGAGE,62000,Source Verified,16.9,149627,32471,6,debt_consolidation,15000,B,10.41,0,Current
CO,4,36,MORTGAGE,40000,Source Verified,21.42,33662,10740,5,credit_card,6500,B,11.99,1,Current
CO,10,36,MORTGAGE,175000,Source Verified,30.74,673150,260440,20,other,35000,A,7.34,0,Current
WI,2,36,RENT,90000,Source Verified,19.23,62308,25827,8,credit_card,15000,C,16.02,0,Current
TX,2,36,RENT,83000,Source Verified,11.34,50039,26597,4,credit_card,11000,B,10.91,0,Current
NJ,10,60,MORTGAGE,70000,Verified,23.14,53351,30456,3,other,30000,D,21.85,0,Current
NC,0,36,RENT,32000,Source Verified,27.01,47697,37507,7,moving,7500,D,18.45,0,Current
OH,10,60,MORTGAGE,189000,Source Verified,10.91,321170,72323,12,debt_consolidation,21000,D,17.09,0,Current
NC,10,36,MORTGAGE,70000,Source Verified,17.81,333854,46577,6,debt_consolidation,32000,B,9.93,0,Current
WV,10,36,OWN,35000,Source Verified,9.98,23857,7761,3,debt_consolidation,9800,C,13.59,0,Current
CT,10,36,RENT,47128,Not Verified,14.34,17933,8403,3,debt_consolidation,4000,C,12.61,0,Current
FL,10,60,MORTGAGE,130500,Verified,29.63,367166,119050,10,debt_consolidation,25000,D,18.06,0,Current
TX,2,36,MORTGAGE,60000,Verified,11,348867,24048,5,credit_card,15000,B,9.44,0,Current
CA,10,36,MORTGAGE,85000,Source Verified,18.92,524299,36949,3,debt_consolidation,12000,B,10.42,0,Fully Paid
SC,5,60,MORTGAGE,64000,Verified,27.94,135759,42678,12,debt_consolidation,16000,C,13.59,0,Current
FL,3,36,RENT,48000,Source Verified,12.59,19924,13840,2,debt_consolidation,13000,B,10.42,0,Current
OH,10,36,MORTGAGE,116000,Source Verified,29.26,493047,111553,11,debt_consolidation,20000,A,7.35,0,Current
VA,10,60,RENT,60000,Not Verified,10.2,61883,31072,3,debt_consolidation,38000,C,15.04,0,Current
CA,10,36,RENT,55000,Not Verified,12.79,61974,11409,7,debt_consolidation,10000,A,7.97,1,Current
MA,3,36,RENT,60000,Source Verified,24.66,226131,67509,5,credit_card,13000,A,7.34,1,Fully Paid
CT,0,60,RENT,44000,Verified,17.08,41443,20369,3,other,30000,E,23.88,0,Current
KY,6,36,MORTGAGE,31304,Verified,85.01,148280,93224,10,debt_consolidation,34800,B,10.41,0,Current
TX,5,36,RENT,173180,Not Verified,30.61,471131,121748,11,debt_consolidation,30000,D,20,0,Current
CA,1,36,MORTGAGE,28000,Source Verified,1.07,7000,75,1,other,6500,B,10.9,0,Current
VA,10,60,MORTGAGE,52600,Verified,13.28,398657,104784,6,credit_card,10000,C,13.59,0,Current
TN,10,60,RENT,87000,Source Verified,12.03,59852,22008,2,major_purchase,40000,B,11.99,0,Current
CA,3,60,MORTGAGE,80000,Source Verified,29.36,129558,92218,4,debt_consolidation,25000,C,16.01,0,Current
OH,8,36,MORTGAGE,48000,Not Verified,28.78,203729,97403,5,debt_consolidation,19000,C,16.01,0,Current
NJ,10,36,RENT,105000,Not Verified,19.82,75070,46965,2,debt_consolidation,16000,A,7.96,0,Current
MD,10,36,MORTGAGE,166000,Verified,19.81,630504,105235,5,credit_card,40000,B,10.91,0,Current
MD,2,36,MORTGAGE,30000,Not Verified,12.6,39303,17720,3,credit_card,6000,A,7.35,0,Current
WA,10,60,MORTGAGE,180000,Verified,43.62,733755,348361,6,debt_consolidation,40000,C,15.04,0,Current
PA,10,36,RENT,100000,Source Verified,17.1,106047,81208,6,debt_consolidation,12000,D,21.85,0,Late (16-30 days)
DC,2,36,OWN,95000,Source Verified,24.03,122000,44762,7,debt_consolidation,35000,C,12.62,0,Current
PA,0,36,RENT,90500,Not Verified,25.13,203921,194908,3,credit_card,17000,A,7.35,0,Fully Paid
CA,6,36,RENT,168000,Verified,13.4,132274,65530,7,credit_card,12000,B,10.91,0,Current
CA,3,36,OWN,43500,Not Verified,19.34,82655,31487,4,debt_consolidation,7800,A,7.34,0,Current
CT,10,36,MORTGAGE,70000,Not Verified,32.08,276831,38068,13,credit_card,28000,D,19.03,0,Current
CA,10,36,RENT,69108,Source Verified,17.36,54357,26201,4,credit_card,10000,A,7.97,1,Current
VA,0,60,MORTGAGE,65000,Source Verified,23.02,812964,23324,2,debt_consolidation,25000,C,12.62,0,Current
CT,7,60,MORTGAGE,72000,Source Verified,29.66,269441,62970,11,credit_card,16000,C,13.58,0,Current
NC,10,36,RENT,35000,Source Verified,31.72,48500,29622,5,debt_consolidation,12000,C,12.62,0,Current
AZ,10,36,RENT,45000,Not Verified,43.6,78910,36758,6,medical,2800,C,14.08,0,Current
IN,4,36,MORTGAGE,120000,Source Verified,26.24,504331,202033,5,credit_card,35000,A,7.97,0,Current
CA,3,36,RENT,70000,Verified,15.14,42184,26417,8,debt_consolidation,20000,C,15.05,0,Current
TX,4,36,MORTGAGE,105000,Not Verified,12.98,400735,60027,2,debt_consolidation,20000,A,5.32,0,Current
CA,10,36,RENT,56000,Source Verified,15.8,39283,31908,6,credit_card,6000,D,20,1,Current
